번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1998-06-23,1.8,"73,200",233.5,11,없음,0,0,0,0,0,5,19.9
2,1998-06-24,1.8,"73,200",233.5,11,없음,17,21,55.5,55.5,55.5,7.8,19.9
3,1998-06-25,1.8,"73,200",233.5,11,없음,24,15,73,128.5,128.5,10.2,22.3
4,1998-06-26,1.8,"73,200",233.5,11,없음,24,17.5,59.5,132.5,188,15.2,23.8
5,1998-06-27,1.8,"73,200",233.5,11,없음,12,7.5,21,80.5,153.5,9,23.5
6,1998-06-28,1.8,"73,200",233.5,11,없음,24,6.5,15.5,36.5,96,6.6,22.7
7,1998-06-29,1.8,"73,200",233.5,11,없음,0,0,0,15.5,36.5,5,24.4
8,1998-06-30,1.8,"73,200",233.5,11,없음,11,5,8.5,8.5,24,8.4,23.3
9,1998-07-01,1.8,"73,200",233.5,11,없음,18,0.5,0.5,9,9,11,24.1
10,1998-07-02,1.8,"73,200",233.5,11,없음,0,0,0,0.5,9,9.1,23.8
11,1998-07-03,1.8,"73,200",233.5,11,없음,0,0,0,0,0.5,8,25.1
12,1998-09-29,8.7,"120,000",136,3,없음,16,13.5,50.5,51,51,11.4,20.7
13,1998-09-30,8.7,"120,000",136,3,없음,24,21.5,83,133.5,134,14.6,23.4
14,1998-10-01,8.7,"120,000",136,3,없음,23,1.5,2.5,85.5,136,8.8,23.2
15,1999-07-23,90.8,"58,500",419,13,없음,1,3,3,11.5,13,12.4,25.3
16,1999-07-24,90.8,"58,500",419,13,없음,24,14.5,15.5,18.5,27,12.8,25
17,1999-07-25,90.8,"58,500",419,13,없음,0,0,0,15.5,18.5,10.8,27.3
18,1999-07-26,90.8,"58,500",419,13,없음,0,0,0,0,15.5,17.6,26.9
19,1999-07-27,90.8,"58,500",419,13,없음,0,0,0,0,0,25.2,24.9
20,1999-07-28,90.8,"58,500",419,13,없음,21,0.5,0.5,0.5,0.5,12.8,24.5
21,1999-07-29,90.8,"58,500",419,13,없음,19,53.5,201,201.5,201.5,13,24.1
22,1999-07-30,90.8,"58,500",419,13,없음,23,22.5,66,267,267.5,12,24.1
23,1999-07-31,90.8,"58,500",419,13,없음,21,0.5,0.5,66.5,267.5,10.1,25.8
24,1999-08-01,90.8,"58,500",419,13,없음,0,0,0,0.5,66.5,8.2,26.2
25,1999-08-02,90.8,"58,500",419,13,없음,0,0,0,0,0.5,8.3,26.5
26,1999-08-03,90.8,"58,500",419,13,없음,13,7,7.5,7.5,7.5,21.1,24.9
27,1999-08-04,90.8,"58,500",419,13,없음,24,29,125,132.5,132.5,6.8,22.4
28,1999-10-10,0,"23,284",27,2,없음,5,9.5,13,13,13,12,21.2
29,1999-10-11,0,"23,284",27,2,없음,22,8.5,14,27,27,13.8,23
30,2002-07-05,2.5,"190,000",22.5,2,없음,19,11,19.5,19.5,19.5,20.3,22.4
31,2002-07-06,2.5,"190,000",22.5,2,라마순,22,1,3,22.5,22.5,13.6,20.7
32,2002-08-04,235,"1,548,497",157.5,8,없음,0,0,0,0,0,9.4,27.7
33,2002-08-05,235,"1,548,497",157.5,8,없음,0,0,0,0,0,11.7,27
34,2002-08-06,235,"1,548,497",157.5,8,없음,12,11.5,25,25,25,15.2,24.6
35,2002-08-07,235,"1,548,497",157.5,8,없음,24,8.5,18,43,43,13,23.7
36,2002-08-08,235,"1,548,497",157.5,8,없음,13,11.5,28,46,71,14.8,22.9
37,2002-08-09,235,"1,548,497",157.5,8,없음,24,14.5,52,80,98,10.7,22
38,2002-08-10,235,"1,548,497",157.5,8,없음,24,2.5,7,59,87,12.5,21.5
39,2002-08-11,235,"1,548,497",157.5,8,없음,24,11,27.5,34.5,86.5,13.5,20
40,2002-08-30,54.5,"1,509,486",10,3,없음,9,2,5,5,5,13.7,25.3
41,2002-08-31,54.5,"1,509,486",10,3,루사,4,1,1.5,6.5,6.5,12.5,21.5
42,2002-09-01,54.5,"1,509,486",10,3,루사,23,1.5,3.5,5,10,6.8,20.8
43,2003-09-12,697.8,"129,246,137",10,2,매미,18,5.5,10,35.5,35.5,10.2,16.5
44,2003-09-13,697.8,"129,246,137",10,2,매미,0,0,0,10,35.5,16,21.9
45,2006-07-09,221.2,"1,082,746",220,21,없음,23,11,40.5,95,95,13.9,23.8
46,2006-07-10,221.2,"1,082,746",220,21,에위니아,20,16,72,112.5,167,20.4,22.4
47,2006-07-11,221.2,"1,082,746",220,21,없음,12,2.5,10.5,82.5,123,13,22.9
48,2006-07-12,221.2,"1,082,746",220,21,없음,24,1,1.5,12,84,8.5,24.6
49,2006-07-13,221.2,"1,082,746",220,21,없음,0,0,0,1.5,12,7.3,27
50,2006-07-14,221.2,"1,082,746",220,21,없음,0,0,0,0,1.5,6.1,26.2
51,2006-07-15,221.2,"1,082,746",220,21,없음,0,0,0,0,0,9.5,25.2
52,2006-07-16,221.2,"1,082,746",220,21,없음,24,1,3,3,3,10.7,23.3
53,2006-07-17,221.2,"1,082,746",220,21,없음,9,2,2,5,5,12,21.9
54,2006-07-18,221.2,"1,082,746",220,21,없음,23,3.5,10,12,15,9.4,22.1
55,2006-07-19,221.2,"1,082,746",220,21,없음,24,11.5,28.5,38.5,40.5,11.4,19.8
56,2006-07-20,221.2,"1,082,746",220,21,없음,24,7.5,29.5,58,68,7.1,19.1
57,2006-07-21,221.2,"1,082,746",220,21,없음,22,0.5,0.5,30,58.5,3,20.1
58,2006-07-22,221.2,"1,082,746",220,21,없음,0,0,0,0.5,30,5,23
59,2006-07-23,221.2,"1,082,746",220,21,없음,0,0,0,0,0.5,6.6,22
60,2006-07-24,221.2,"1,082,746",220,21,없음,0,0,0,0,0,8,21.1
61,2006-07-25,221.2,"1,082,746",220,21,없음,0,0,0,0,0,7.4,22.5
62,2006-07-26,221.2,"1,082,746",220,21,없음,19,9.5,20.5,20.5,20.5,8.7,22
63,2006-07-27,221.2,"1,082,746",220,21,없음,15,1,1.5,22,22,6.7,23.5
64,2006-07-28,221.2,"1,082,746",220,21,없음,0,0,0,1.5,22,8.2,26.1
65,2006-07-29,221.2,"1,082,746",220,21,없음,0,0,0,0,1.5,7.6,26.6
66,2008-07-23,2.9,0,52,4,없음,0,0,0,0,3,5,25.8
67,2008-07-24,2.9,0,52,4,없음,0,0,0,0,0,6.8,26.3
68,2008-07-25,2.9,0,52,4,없음,0,0,0,0,0,8,25.1
69,2008-07-26,2.9,0,52,4,없음,24,27,52,52,52,8.5,23.6
70,2008-08-02,21.5,"20,512",133,17,없음,0,0,0,0,0,9.9,26.7
71,2008-08-03,21.5,"20,512",133,17,없음,19,1,1,1,1,11.8,25.3
72,2008-08-04,21.5,"20,512",133,17,없음,0,0,0,1,1,5.7,23.7
73,2008-08-05,21.5,"20,512",133,17,없음,0,0,0,0,1,4.8,24.7
74,2008-08-06,21.5,"20,512",133,17,없음,0,0,0,0,0,11.5,24.6
75,2008-08-07,21.5,"20,512",133,17,없음,0,0,0,0,0,11.9,24.4
76,2008-08-08,21.5,"20,512",133,17,없음,0,0,0,0,0,11.3,25.5
77,2008-08-09,21.5,"20,512",133,17,없음,0,0,0,0,0,9.2,26.2
78,2008-08-10,21.5,"20,512",133,17,없음,0,0,0,0,0,12,27.1
79,2008-08-11,21.5,"20,512",133,17,없음,0,0,0,0,0,10.3,27.4
80,2008-08-12,21.5,"20,512",133,17,없음,5,9.5,29,29,29,9.9,27.7
81,2008-08-13,21.5,"20,512",133,17,없음,0,0,0,29,29,10.7,27.2
82,2008-08-14,21.5,"20,512",133,17,없음,2,27,28.5,28.5,57.5,6.1,26.9
83,2008-08-15,21.5,"20,512",133,17,없음,24,29.5,72,100.5,100.5,18.3,25.8
84,2008-08-16,21.5,"20,512",133,17,없음,24,1.5,2.5,74.5,103,11.1,23.3
85,2008-08-17,21.5,"20,512",133,17,없음,0,0,0,2.5,74.5,11.8,23.7
86,2008-08-18,21.5,"20,512",133,17,없음,0,0,0,0,2.5,11.5,26.2
87,2009-07-07,0.9,0,235.5,2,없음,21,56.5,211,211,211,16.2,21.5
88,2009-07-08,0.9,0,235.5,2,없음,21,17,24.5,235.5,235.5,7.8,22.2
89,2009-07-11,18.8,"936,572",264.5,6,없음,5,5,8.5,8.5,16.5,7,22.2
90,2009-07-12,18.8,"936,572",264.5,6,없음,23,0.5,2,10.5,10.5,14.8,23.6
91,2009-07-13,18.8,"936,572",264.5,6,없음,21,21.5,37.5,39.5,48,13,23.5
92,2009-07-14,18.8,"936,572",264.5,6,없음,0,0,0,37.5,39.5,15.7,24.2
93,2009-07-15,18.8,"936,572",264.5,6,없음,21,33.5,81,81,118.5,17.4,20.1
94,2009-07-16,18.8,"936,572",264.5,6,없음,24,50.5,135.5,216.5,216.5,10,21.8
95,2010-08-09,2.9,"20,295",68.5,4,없음,3,30,36.5,36.5,36.5,9.5,26.5
96,2010-08-10,2.9,"20,295",68.5,4,없음,24,5,6,42.5,42.5,18.5,26.2
97,2010-08-11,2.9,"20,295",68.5,4,뎬무,23,5.5,26,32,68.5,25.3,24.7
98,2010-08-12,2.9,"20,295",68.5,4,없음,0,0,0,26,32,7.3,25.6
99,2011-07-07,0.4,600,112,10,없음,21,13.5,19.5,25,25,11.3,21.2
100,2011-07-08,0.4,600,112,10,없음,13,1,2,21.5,27,11.6,22.4
101,2011-07-09,0.4,600,112,10,없음,22,30.5,80,82,101.5,13.1,21
102,2011-07-10,0.4,600,112,10,없음,19,0.5,0.5,80.5,82.5,8.4,23.6
103,2011-07-11,0.4,600,112,10,없음,0,0,0,0.5,80.5,4.9,24.2
104,2011-07-12,0.4,600,112,10,없음,0,0,0,0,0.5,4.1,25.3
105,2011-07-13,0.4,600,112,10,없음,20,0.5,1.5,1.5,1.5,5.9,23.4
106,2011-07-14,0.4,600,112,10,없음,17,8,8.5,10,10,6.7,24.4
107,2011-07-15,0.4,600,112,10,없음,0,0,0,8.5,10,7.2,24.2
108,2011-07-16,0.4,600,112,10,없음,0,0,0,0,8.5,5.2,25
109,2011-07-26,0.4,600,0,4,없음,0,0,0,0,0,6.2,24.9
110,2011-07-27,0.4,600,0,4,없음,0,0,0,0,0,8.5,7.7
111,2011-07-28,0.4,600,0,4,없음,0,0,0,0,0,8.6,12.6
112,2011-07-29,0.4,600,0,4,없음,0,0,0,0,0,8.2,27
113,2012-07-10,0.4,600,6.5,1,없음,5,6.5,6.5,6.5,6.5,6.8,23.3
114,2012-07-14,2.9,"3,600",228,2,없음,23,20,58,89.5,89.5,10.7,22
115,2012-07-15,2.9,"3,600",228,2,없음,24,71.5,170,228,259.5,9,24.2
116,2012-09-14,36.5,"629,756",85,4,없음,0,0,0,38.5,38.5,8.1,21.4
117,2012-09-15,36.5,"629,756",85,4,없음,23,5,16.5,16.5,55,4.5,19.5
118,2012-09-16,36.5,"629,756",85,4,없음,23,8,61,77.5,77.5,7.9,19.8
119,2012-09-17,36.5,"629,756",85,4,산바,11,4.5,7.5,68.5,85,10,17.9
120,2014-08-25,85.8,"4,613,128",71,1,없음,24,16.5,71,74,74,8.7,23.4
121,2015-07-22,1,"2,400",57,5,없음,24,6.5,7.5,9,13,6.4,22.8
122,2015-07-23,1,"2,400",57,5,없음,23,36,49,56.5,58,5,24.6
123,2015-07-24,1,"2,400",57,5,없음,19,0.5,0.5,49.5,57,5.2,24.5
124,2015-07-25,1,"2,400",57,5,없음,0,0,0,0.5,49.5,4.9,25.3
125,2015-07-26,1,"2,400",57,5,없음,0,0,0,0,0.5,6.5,25.9
126,2016-10-03,101.4,"1,949,805",70.5,4,없음,0,0,0,0,2,5.2,24.4
127,2016-10-04,101.4,"1,949,805",70.5,4,없음,1,1,1,1,1,10,23.1
128,2016-10-05,101.4,"1,949,805",70.5,4,없음,24,28,69.5,70.5,70.5,28.9,21.4
129,2016-10-06,101.4,"1,949,805",70.5,4,없음,0,0,0,69.5,70.5,11.6,21.9
130,2017-09-11,4.1,"4,809",0,2,없음,0,,,0,0,,
131,2017-09-12,4.1,"4,809",0,2,없음,0,,,0,0,,
