번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2006-07-09,4.7,"780,300",587.5,21,없음,24,54,167,207.5,207.5,3.8,23.6
2,2006-07-10,4.7,"780,300",587.5,21,에위니아,20,70,180,347,387.5,11.4,23.6
3,2006-07-11,4.7,"780,300",587.5,21,없음,9,1.5,5,185,352,6.7,25.1
4,2006-07-12,4.7,"780,300",587.5,21,없음,24,4.5,16,21,201,4.8,26.7
5,2006-07-13,4.7,"780,300",587.5,21,없음,0,0,0,16,21,5.8,29.3
6,2006-07-14,4.7,"780,300",587.5,21,없음,0,0,0,0,16,4.3,29.9
7,2006-07-15,4.7,"780,300",587.5,21,없음,11,13.5,20.5,20.5,20.5,4.7,27.8
8,2006-07-16,4.7,"780,300",587.5,21,없음,23,8.5,14,34.5,34.5,5,24.6
9,2006-07-17,4.7,"780,300",587.5,21,없음,14,10,23.5,37.5,58,3.6,22.4
10,2006-07-18,4.7,"780,300",587.5,21,없음,16,10,42,65.5,79.5,4.3,22.4
11,2006-07-19,4.7,"780,300",587.5,21,없음,24,8,37.5,79.5,103,5,19.6
12,2006-07-20,4.7,"780,300",587.5,21,없음,24,5.5,17.5,55,97,4.4,19.5
13,2006-07-21,4.7,"780,300",587.5,21,없음,0,0,0,17.5,55,2.9,21.9
14,2006-07-22,4.7,"780,300",587.5,21,없음,0,0,0,0,17.5,3.3,25.6
15,2006-07-23,4.7,"780,300",587.5,21,없음,0,0,0,0,0,2.4,22.9
16,2006-07-24,4.7,"780,300",587.5,21,없음,0,0,0,0,0,1.6,22.4
17,2006-07-25,4.7,"780,300",587.5,21,없음,0,0,0,0,0,4,24.8
18,2006-07-26,4.7,"780,300",587.5,21,없음,23,19.5,55.5,55.5,55.5,4.9,21.8
19,2006-07-27,4.7,"780,300",587.5,21,없음,0,0,0,55.5,55.5,4,25.6
20,2006-07-28,4.7,"780,300",587.5,21,없음,0,0,0,0,55.5,5.5,28.5
21,2006-07-29,4.7,"780,300",587.5,21,없음,5,8.5,9,9,9,6,29
22,2014-08-17,1.4,"1,800",335.5,5,없음,2,5.5,7.5,7.5,16,3.4,23.2
23,2014-08-18,1.4,"1,800",335.5,5,없음,24,69,249,256.5,256.5,4.4,21.5
24,2014-08-19,1.4,"1,800",335.5,5,없음,24,7.5,15.5,264.5,272,3.1,24.5
25,2014-08-20,1.4,"1,800",335.5,5,없음,22,7.5,45.5,61,310,3.2,24
26,2014-08-21,1.4,"1,800",335.5,5,없음,24,6,18,63.5,79,5.4,25.8
27,2014-08-25,199.2,"10,328,514",244.5,1,없음,24,130,244.5,244.5,244.5,4.3,23.3
28,2016-07-01,0.5,600,193,7,없음,14,26.5,82,82,83.5,5.4,24.7
29,2016-07-02,0.5,600,193,7,없음,22,35.5,46,128,128,7,25.1
30,2016-07-03,0.5,600,193,7,없음,19,14,27.5,73.5,155.5,2.4,23.2
31,2016-07-04,0.5,600,193,7,없음,23,15,35,62.5,108.5,1.9,22
32,2016-07-05,0.5,600,193,7,없음,23,1,1.5,36.5,64,3.6,25.5
33,2016-07-06,0.5,600,193,7,없음,18,1,1,2.5,37.5,4.9,26.7
34,2016-07-07,0.5,600,193,7,없음,0,0,0,1,2.5,3.7,25.3
35,2016-10-03,3.5,"759,542",181,4,없음,0,0,0,1,1.5,3.7,24.8
36,2016-10-04,3.5,"759,542",181,4,없음,0,0,0,0,1,5.3,22.7
37,2016-10-05,3.5,"759,542",181,4,없음,24,56,181,181,181,9.2,21
38,2016-10-06,3.5,"759,542",181,4,없음,0,0,0,181,181,3.6,21.2
39,2017-09-11,0.5,600,0,2,없음,0,,,0,0,,
40,2017-09-12,0.5,600,0,2,없음,0,,,0,0,,
