번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2000-07-14,3.7,"34,182",171,2,없음,9,68,150,150,150,5.5,24.2
2,2000-07-15,3.7,"34,182",171,2,없음,20,7,21,171,171,5.3,24.3
3,2002-08-04,0.4,"869,632",392.5,8,없음,11,0.5,0.5,0.5,0.5,4.6,27
4,2002-08-05,0.4,"869,632",392.5,8,없음,2,1,2,2.5,2.5,6,28
5,2002-08-06,0.4,"869,632",392.5,8,없음,24,35.5,73.5,75.5,76,6.7,25.6
6,2002-08-07,0.4,"869,632",392.5,8,없음,23,7.5,25,98.5,100.5,7.9,24.9
7,2002-08-08,0.4,"869,632",392.5,8,없음,23,14.5,54.5,79.5,153,5.6,24.2
8,2002-08-09,0.4,"869,632",392.5,8,없음,24,19,116.5,171,196,4.1,21.2
9,2002-08-10,0.4,"869,632",392.5,8,없음,24,12.5,48.5,165,219.5,4.2,21.4
10,2002-08-11,0.4,"869,632",392.5,8,없음,24,17.5,72,120.5,237,4.4,20.3
11,2003-09-12,270.4,"31,457,399",63.5,2,매미,24,17.5,63.5,86.5,87,18.7,24.8
12,2003-09-13,270.4,"31,457,399",63.5,2,매미,0,0,0,63.5,86.5,11.4,26.7
13,2006-07-09,4.6,"265,756",390.5,21,없음,24,39.5,110.5,140.5,140.5,3.6,23.5
14,2006-07-10,4.6,"265,756",390.5,21,에위니아,19,41.5,98.5,209,239,11.6,23.3
15,2006-07-11,4.6,"265,756",390.5,21,없음,9,1,4,102.5,213,4.6,25.8
16,2006-07-12,4.6,"265,756",390.5,21,없음,23,6,16.5,20.5,119,5.1,27
17,2006-07-13,4.6,"265,756",390.5,21,없음,0,0,0,16.5,20.5,3.8,29.5
18,2006-07-14,4.6,"265,756",390.5,21,없음,0,0,0,0,16.5,5.1,28.5
19,2006-07-15,4.6,"265,756",390.5,21,없음,10,7,10.5,10.5,10.5,4.6,23.6
20,2006-07-16,4.6,"265,756",390.5,21,없음,15,2,3,13.5,13.5,4.2,15.9
21,2006-07-17,4.6,"265,756",390.5,21,없음,15,5.5,19.5,22.5,33,4.5,20.6
22,2006-07-18,4.6,"265,756",390.5,21,없음,21,10,29.5,49,52,3,20.8
23,2006-07-19,4.6,"265,756",390.5,21,없음,24,7,37.5,67,86.5,4,19.5
24,2006-07-20,4.6,"265,756",390.5,21,없음,24,5.5,20,57.5,87,3.7,19.3
25,2006-07-21,4.6,"265,756",390.5,21,없음,0,0,0,20,57.5,3,4.8
26,2006-07-22,4.6,"265,756",390.5,21,없음,0,0,0,0,20,3.9,4.8
27,2006-07-23,4.6,"265,756",390.5,21,없음,4,0.5,0.5,0.5,0.5,2.1,21.9
28,2006-07-24,4.6,"265,756",390.5,21,없음,0,0,0,0.5,0.5,2.3,21.1
29,2006-07-25,4.6,"265,756",390.5,21,없음,0,0,0,0,0.5,2.5,23.2
30,2006-07-26,4.6,"265,756",390.5,21,없음,24,14.5,36.5,36.5,36.5,4.2,21.3
31,2006-07-27,4.6,"265,756",390.5,21,없음,13,2.5,2.5,39,39,4.4,24.5
32,2006-07-28,4.6,"265,756",390.5,21,없음,0,0,0,2.5,39,4.8,28.2
33,2006-07-29,4.6,"265,756",390.5,21,없음,5,1.5,1.5,1.5,4,4.2,28.5
34,2008-08-02,9.6,"752,255",348,17,없음,0,0,0,0,0,6.1,29.3
35,2008-08-03,9.6,"752,255",348,17,없음,18,1.5,1.5,1.5,1.5,5.6,27.1
36,2008-08-04,9.6,"752,255",348,17,없음,0,0,0,1.5,1.5,2.6,23.4
37,2008-08-05,9.6,"752,255",348,17,없음,0,0,0,0,1.5,3.9,24.3
38,2008-08-06,9.6,"752,255",348,17,없음,0,0,0,0,0,4.9,23.8
39,2008-08-07,9.6,"752,255",348,17,없음,0,0,0,0,0,5.2,25.5
40,2008-08-08,9.6,"752,255",348,17,없음,14,27.5,28.5,28.5,28.5,4.6,25.6
41,2008-08-09,9.6,"752,255",348,17,없음,0,0,0,28.5,28.5,4,26.7
42,2008-08-10,9.6,"752,255",348,17,없음,0,0,0,0,28.5,5.3,27.6
