번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2002-08-04,4.2,"525,243",365.5,8,없음,0,0,0,0,0,5.1,29.2
2,2002-08-05,4.2,"525,243",365.5,8,없음,0,0,0,0,0,4.4,29
3,2002-08-06,4.2,"525,243",365.5,8,없음,24,17,45.5,45.5,45.5,5.5,26.3
4,2002-08-07,4.2,"525,243",365.5,8,없음,23,6,17,62.5,62.5,6.3,25.4
5,2002-08-08,4.2,"525,243",365.5,8,없음,23,10.5,41.5,58.5,104,7.2,24.9
6,2002-08-09,4.2,"525,243",365.5,8,없음,24,29,151.5,193,210,4.4,22.8
7,2002-08-10,4.2,"525,243",365.5,8,없음,24,8,33,184.5,226,5.3,22.9
8,2002-08-11,4.2,"525,243",365.5,8,없음,24,18,77,110,261.5,5.5,21.4
9,2003-09-12,19.9,"31,646,545",64.5,2,매미,24,18.5,64.5,90.5,90.5,13.4,26.9
10,2003-09-13,19.9,"31,646,545",64.5,2,매미,0,0,0,64.5,90.5,9.3,27.2
11,2006-07-09,0.4,"246,953",367.5,21,없음,24,24.5,86.5,126.5,126.5,4.3,24.6
12,2006-07-10,0.4,"246,953",367.5,21,에위니아,20,34.5,109,195.5,235.5,11,23.7
13,2006-07-11,0.4,"246,953",367.5,21,없음,10,2,7.5,116.5,203,4.7,24.8
14,2006-07-12,0.4,"246,953",367.5,21,없음,24,1.5,3.5,11,120,4.6,26.3
15,2006-07-13,0.4,"246,953",367.5,21,없음,0,0,0,3.5,11,4.4,28.9
16,2006-07-14,0.4,"246,953",367.5,21,없음,0,0,0,0,3.5,4,28.9
17,2006-07-15,0.4,"246,953",367.5,21,없음,5,0.5,0.5,0.5,0.5,4.5,27.5
18,2006-07-16,0.4,"246,953",367.5,21,없음,23,2,2.5,3,3,4.1,24.4
19,2006-07-17,0.4,"246,953",367.5,21,없음,12,10.5,19.5,22,22.5,3.5,21.7
20,2006-07-18,0.4,"246,953",367.5,21,없음,21,7.5,35,54.5,57,2.9,21.9
21,2006-07-19,0.4,"246,953",367.5,21,없음,24,6.5,32.5,67.5,87,5,20.1
22,2006-07-20,0.4,"246,953",367.5,21,없음,24,11,37,69.5,104.5,3.3,20.1
23,2006-07-21,0.4,"246,953",367.5,21,없음,23,0.5,0.5,37.5,70,2.8,21.8
24,2006-07-22,0.4,"246,953",367.5,21,없음,0,0,0,0.5,37.5,3.5,25.2
25,2006-07-23,0.4,"246,953",367.5,21,없음,0,0,0,0,0.5,2.8,23.4
26,2006-07-24,0.4,"246,953",367.5,21,없음,0,0,0,0,0,3.6,22.3
27,2006-07-25,0.4,"246,953",367.5,21,없음,7,1,1,1,1,3.1,23.5
