번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,8.9,0,19.5,1,없음,20,9,19.5,19.5,19.5,,26.9
2,2003-07-17,0.4,0,127,2,없음,4,4.5,7.5,7.5,7.5,3.4,21.9
3,2003-07-18,0.4,0,127,2,없음,24,59,119.5,127,127,5.5,23.4
4,2003-09-12,34.7,"616,461",58.5,2,매미,24,14,58.5,80.5,80.5,15.9,26.6
5,2003-09-13,34.7,"616,461",58.5,2,매미,0,0,0,58.5,80.5,10.1,27.2
6,2008-08-02,10.1,0,265,17,없음,0,0,0,0,0,2.3,28.2
7,2008-08-03,10.1,0,265,17,없음,18,3,3,3,3,3.3,27.8
8,2008-08-04,10.1,0,265,17,없음,0,0,0,3,3,3.3,26
9,2008-08-05,10.1,0,265,17,없음,0,0,0,0,3,3.6,26.3
10,2008-08-06,10.1,0,265,17,없음,0,0,0,0,0,3.9,26.4
11,2008-08-07,10.1,0,265,17,없음,0,0,0,0,0,3.7,26.1
12,2008-08-08,10.1,0,265,17,없음,13,5,5,5,5,3.1,26
13,2008-08-09,10.1,0,265,17,없음,0,0,0,5,5,4.1,27.7
14,2008-08-10,10.1,0,265,17,없음,0,0,0,0,5,4,27.8
15,2008-08-11,10.1,0,265,17,없음,0,0,0,0,0,3.9,28.5
16,2008-08-12,10.1,0,265,17,없음,21,35.5,96,96,96,2.4,28
17,2008-08-13,10.1,0,265,17,없음,24,80,89.5,185.5,185.5,12.5,27.7
18,2008-08-14,10.1,0,265,17,없음,1,9.5,9.5,99,195,3.9,28
19,2008-08-15,10.1,0,265,17,없음,24,24.5,55,64.5,154,11.6,26.3
20,2008-08-16,10.1,0,265,17,없음,24,4,7,62,71.5,4,22.9
21,2008-08-17,10.1,0,265,17,없음,0,0,0,7,62,3.3,24.2
22,2008-08-18,10.1,0,265,17,없음,0,0,0,0,7,2.2,26.8
23,2009-07-07,5.8,"1,721",253,2,없음,20,53,251.5,251.5,251.5,5.7,23.3
24,2009-07-08,5.8,"1,721",253,2,없음,10,1,1.5,253,253,4.1,24.3
25,2009-07-11,93.8,"466,525",353,6,없음,5,4,9.5,9.5,22.5,3.5,25.5
26,2009-07-12,93.8,"466,525",353,6,없음,23,2.5,4,13.5,13.5,6.7,25.6
27,2009-07-13,93.8,"466,525",353,6,없음,20,11.5,30.5,34.5,44,6,26.8
28,2009-07-14,93.8,"466,525",353,6,없음,20,3.5,6.5,37,41,5.7,26.7
29,2009-07-15,93.8,"466,525",353,6,없음,22,35.5,80,86.5,117,7.5,22
30,2009-07-16,93.8,"466,525",353,6,없음,24,65,222.5,302.5,309,5.4,24
31,2011-07-26,0.4,600,171,4,없음,0,0,0,0,0,4.5,27
32,2011-07-27,0.4,600,171,4,없음,23,60,169.5,169.5,169.5,4.7,26.3
33,2011-07-28,0.4,600,171,4,없음,13,1.5,1.5,171,171,4.5,27.9
