번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-07-23,0.4,0,512,13,없음,0,0,0,65.5,65.5,6.6,26.7
2,1999-07-24,0.4,0,512,13,없음,23,5.5,7.5,7.5,73,5,25.7
3,1999-07-25,0.4,0,512,13,없음,6,0.5,0.5,8,8,5.1,28.1
4,1999-07-26,0.4,0,512,13,없음,0,0,0,0.5,8,6,27.6
5,1999-07-27,0.4,0,512,13,없음,22,6.5,27,27,27.5,8.1,25.5
6,1999-07-28,0.4,0,512,13,없음,20,1,1,28,28,6.2,26
7,1999-07-29,0.4,0,512,13,없음,18,47,186,187,214,6.7,24.8
8,1999-07-30,0.4,0,512,13,없음,24,22,107.5,293.5,294.5,8,25.1
9,1999-07-31,0.4,0,512,13,없음,24,0.5,0.5,108,294,6.1,26.8
10,1999-08-01,0.4,0,512,13,없음,0,0,0,0.5,108,5.7,27.8
11,1999-08-02,0.4,0,512,13,없음,0,0,0,0,0.5,4.2,26.9
12,1999-08-03,0.4,0,512,13,없음,18,40,66,66,66,10,25.6
13,1999-08-04,0.4,0,512,13,없음,24,19.5,116,182,182,3.1,22.9
14,1999-09-10,0.9,0,28.5,1,없음,19,15,28.5,28.5,28.5,4.1,27.4
15,2000-08-23,0.4,0,220.5,10,없음,0,0,0,0,0,4.4,27.6
16,2000-08-24,0.4,0,220.5,10,없음,16,2.5,2.5,2.5,2.5,3.2,27.3
17,2000-08-25,0.4,0,220.5,10,없음,24,25.5,69.5,72,72,8.1,24.7
18,2000-08-26,0.4,0,220.5,10,없음,24,48.5,132,201.5,204,2.9,24.4
19,2000-08-27,0.4,0,220.5,10,없음,0,0,0,132,201.5,4.4,27.3
20,2000-08-28,0.4,0,220.5,10,없음,0,0,0,0,132,4.3,27.7
21,2000-08-29,0.4,0,220.5,10,없음,11,0.5,0.5,0.5,0.5,4.6,28.4
22,2000-08-30,0.4,0,220.5,10,없음,0,0,0,0.5,0.5,5.4,28.4
23,2000-08-31,0.4,0,220.5,10,없음,23,5,16,16,16.5,9.1,27.7
24,2000-09-01,0.4,0,220.5,10,없음,0,0,0,16,16,6.9,28.5
25,2003-07-17,5.2,"15,000",129,2,없음,4,4.5,7.5,7.5,7.5,4.5,21.1
26,2003-07-18,5.2,"15,000",129,2,없음,24,63.5,121.5,129,129,4.2,23.1
27,2003-09-12,1.9,"345,810",90,2,매미,24,20,90,126.5,126.5,13.2,25.8
28,2003-09-13,1.9,"345,810",90,2,매미,0,0,0,90,126.5,11.3,26.6
29,2006-07-09,4.7,"512,666",446.5,21,없음,24,37.5,120.5,157,157,4.7,23.8
30,2006-07-10,4.7,"512,666",446.5,21,에위니아,20,54.5,150,270.5,307,9.8,23.6
31,2006-07-11,4.7,"512,666",446.5,21,없음,9,2,5.5,155.5,276,5.1,25.1
32,2006-07-12,4.7,"512,666",446.5,21,없음,24,4,13.5,19,169,4.4,26.6
33,2006-07-13,4.7,"512,666",446.5,21,없음,0,0,0,13.5,19,4.3,29
34,2006-07-14,4.7,"512,666",446.5,21,없음,0,0,0,0,13.5,5.1,29.8
35,2006-07-15,4.7,"512,666",446.5,21,없음,10,11.5,13,13,13,5.5,27.7
36,2006-07-16,4.7,"512,666",446.5,21,없음,23,0.5,1,14,14,4.9,24.6
37,2006-07-17,4.7,"512,666",446.5,21,없음,17,3,6.5,7.5,20.5,3.9,21.9
38,2006-07-18,4.7,"512,666",446.5,21,없음,21,6.5,34.5,41,42,3.9,22.2
39,2006-07-19,4.7,"512,666",446.5,21,없음,24,7.5,30.5,65,71.5,3.4,19.4
40,2006-07-20,4.7,"512,666",446.5,21,없음,24,5.5,17,47.5,82,3.4,19.2
41,2006-07-21,4.7,"512,666",446.5,21,없음,0,0,0,17,47.5,2.4,21.4
42,2006-07-22,4.7,"512,666",446.5,21,없음,0,0,0,0,17,4.2,25.1
43,2006-07-23,4.7,"512,666",446.5,21,없음,0,0,0,0,0,3.2,22.5
44,2006-07-24,4.7,"512,666",446.5,21,없음,0,0,0,0,0,2.2,22
45,2006-07-25,4.7,"512,666",446.5,21,없음,0,0,0,0,0,3.7,23.9
46,2006-07-26,4.7,"512,666",446.5,21,없음,23,15,51.5,51.5,51.5,4.4,21.7
47,2006-07-27,4.7,"512,666",446.5,21,없음,0,0,0,51.5,51.5,4.2,25.1
48,2006-07-28,4.7,"512,666",446.5,21,없음,0,0,0,0,51.5,5,28.4
49,2006-07-29,4.7,"512,666",446.5,21,없음,5,3,3,3,3,4.1,28.9
50,2009-07-11,0.9,"54,546",350,6,없음,4,3,7,7,17,3.2,25.7
51,2009-07-12,0.9,"54,546",350,6,없음,24,3.5,6.5,13.5,13.5,5.6,26
52,2009-07-13,0.9,"54,546",350,6,없음,22,2,6.5,13,20,4.4,26.9
53,2009-07-14,0.9,"54,546",350,6,없음,18,3.5,3.5,10,16.5,7.4,27.3
54,2009-07-15,0.9,"54,546",350,6,없음,22,71,127.5,131,137.5,7,22.2
55,2009-07-16,0.9,"54,546",350,6,없음,24,59,199,326.5,330,5.2,24.3
56,2012-07-14,0.9,"1,200",191,2,없음,22,19.5,50.5,70,70,1.8,22.3
57,2012-07-15,0.9,"1,200",191,2,없음,24,48.5,140.5,191,210.5,8.3,24.4
58,2014-08-25,444.4,"3,613,816",198,1,없음,24,83,198,198,198,4.1,23.6
59,2016-10-03,2.5,"99,814",134,4,없음,0,0,0,1,1,4,25.1
60,2016-10-04,2.5,"99,814",134,4,없음,0,0,0,0,1,3.1,22.5
61,2016-10-05,2.5,"99,814",134,4,없음,24,47,134,134,134,9.2,21.3
62,2016-10-06,2.5,"99,814",134,4,없음,0,0,0,134,134,2.7,21.1
63,2017-09-11,7.7,"16,150",0,2,없음,0,,,0,0,,
64,2017-09-12,7.7,"16,150",0,2,없음,0,,,0,0,,
