번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-10-10,0.9,0,88.5,2,없음,5,17,24,24,24,3.2,20
2,1999-10-11,0.9,0,88.5,2,없음,24,28.5,64.5,88.5,88.5,6.5,22.7
3,2003-07-17,4.2,"6,900",127,2,없음,4,4.5,7.5,7.5,7.5,3.4,21.9
4,2003-07-18,4.2,"6,900",127,2,없음,24,59,119.5,127,127,5.5,23.4
5,2003-09-12,0.9,"883,674",58.5,2,매미,24,14,58.5,80.5,80.5,15.9,26.6
6,2003-09-13,0.9,"883,674",58.5,2,매미,0,0,0,58.5,80.5,10.1,27.2
7,2006-07-09,27.8,"672,077",436.5,21,없음,24,36,111,159.5,159.5,5.5,24
8,2006-07-10,27.8,"672,077",436.5,21,에위니아,20,44,102,213,261.5,16.3,23.4
9,2006-07-11,27.8,"672,077",436.5,21,없음,10,2,7,109,220,4.8,24.7
10,2006-07-12,27.8,"672,077",436.5,21,없음,24,4.5,10,17,119,2.8,25.8
11,2006-07-13,27.8,"672,077",436.5,21,없음,0,0,0,10,17,4.3,28.3
12,2006-07-14,27.8,"672,077",436.5,21,없음,0,0,0,0,10,5,28.6
13,2006-07-15,27.8,"672,077",436.5,21,없음,10,0.5,1,1,1,3.5,27.2
14,2006-07-16,27.8,"672,077",436.5,21,없음,23,1.5,3,4,4,5.2,24.1
15,2006-07-17,27.8,"672,077",436.5,21,없음,13,8.5,22.5,25.5,26.5,5,21.7
16,2006-07-18,27.8,"672,077",436.5,21,없음,15,5.5,26,48.5,51.5,4,22.2
17,2006-07-19,27.8,"672,077",436.5,21,없음,24,11.5,42.5,68.5,91,4.7,19.5
18,2006-07-20,27.8,"672,077",436.5,21,없음,24,9.5,34,76.5,102.5,3.1,19.2
19,2006-07-21,27.8,"672,077",436.5,21,없음,0,0,0,34,76.5,3.1,21.3
20,2006-07-22,27.8,"672,077",436.5,21,없음,0,0,0,0,34,4.8,24.4
21,2006-07-23,27.8,"672,077",436.5,21,없음,0,0,0,0,0,3.7,23.2
22,2006-07-24,27.8,"672,077",436.5,21,없음,0,0,0,0,0,3.9,22.1
23,2006-07-25,27.8,"672,077",436.5,21,없음,7,0.5,0.5,0.5,0.5,4.6,23.7
24,2006-07-26,27.8,"672,077",436.5,21,없음,23,17.5,66.5,67,67,3.4,22
25,2006-07-27,27.8,"672,077",436.5,21,없음,13,3,3,69.5,70,,
26,2006-07-28,27.8,"672,077",436.5,21,없음,0,0,0,3,69.5,5.3,27.8
27,2006-07-29,27.8,"672,077",436.5,21,없음,5,7.5,7.5,7.5,10.5,5.5,28
28,2009-07-07,1.4,0,253,2,없음,20,53,251.5,251.5,251.5,5.7,23.3
29,2009-07-08,1.4,0,253,2,없음,10,1,1.5,253,253,4.1,24.3
30,2009-07-11,19.8,"415,946",353,6,없음,5,4,9.5,9.5,22.5,3.5,25.5
31,2009-07-12,19.8,"415,946",353,6,없음,23,2.5,4,13.5,13.5,6.7,25.6
32,2009-07-13,19.8,"415,946",353,6,없음,20,11.5,30.5,34.5,44,6,26.8
33,2009-07-14,19.8,"415,946",353,6,없음,20,3.5,6.5,37,41,5.7,26.7
34,2009-07-15,19.8,"415,946",353,6,없음,22,35.5,80,86.5,117,7.5,22
35,2009-07-16,19.8,"415,946",353,6,없음,24,65,222.5,302.5,309,5.4,24
36,2012-07-14,2.9,"12,388",294,2,없음,22,20.5,56.5,83.5,83.5,3.3,23.2
37,2012-07-15,2.9,"12,388",294,2,없음,24,76,237.5,294,321,5.7,25
38,2014-08-25,19.4,"679,867",85,1,없음,23,31.5,85,86,86,3.8,23.6
39,2017-09-11,62.7,"72,600",0,2,없음,0,,,0,0,,
40,2017-09-12,62.7,"72,600",0,2,없음,0,,,0,0,,
