번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2002-08-04,10.5,"688,680",365,8,없음,0,0,0,1.5,3.5,2.3,27.8
2,2002-08-05,10.5,"688,680",365,8,없음,0,0,0,0,1.5,3.4,27.2
3,2002-08-06,10.5,"688,680",365,8,없음,14,18.5,48.5,48.5,48.5,4,25.1
4,2002-08-07,10.5,"688,680",365,8,없음,24,16.5,41.5,90,90,5.6,24.1
5,2002-08-08,10.5,"688,680",365,8,없음,24,20.5,63,104.5,153,7,23.5
6,2002-08-09,10.5,"688,680",365,8,없음,24,24.5,119,182,223.5,7.2,22.7
7,2002-08-10,10.5,"688,680",365,8,없음,24,15.5,45.5,164.5,227.5,9.6,21.9
8,2002-08-11,10.5,"688,680",365,8,없음,24,12.5,47.5,93,212,12.9,20
9,2006-07-09,20.1,"3,829,300",551,21,없음,24,37,97,137.5,137.5,8.9,24.1
10,2006-07-10,20.1,"3,829,300",551,21,에위니아,20,55,203,300,340.5,11.1,23.3
11,2006-07-11,20.1,"3,829,300",551,21,없음,10,1.5,7,210,307,2.9,23.8
12,2006-07-12,20.1,"3,829,300",551,21,없음,24,4.5,10.5,17.5,220.5,3.3,25.8
13,2006-07-13,20.1,"3,829,300",551,21,없음,0,0,0,10.5,17.5,2.3,27.6
14,2006-07-14,20.1,"3,829,300",551,21,없음,0,0,0,0,10.5,2.3,28.6
15,2006-07-15,20.1,"3,829,300",551,21,없음,11,27,32.5,32.5,32.5,2.8,26.3
16,2006-07-16,20.1,"3,829,300",551,21,없음,23,9.5,11,43.5,43.5,3.6,24.4
17,2006-07-17,20.1,"3,829,300",551,21,없음,12,7,16,27,59.5,9.6,21.9
18,2006-07-18,20.1,"3,829,300",551,21,없음,23,6.5,35,51,62,4.8,22.4
19,2006-07-19,20.1,"3,829,300",551,21,없음,24,9,34.5,69.5,85.5,8.6,19.6
20,2006-07-20,20.1,"3,829,300",551,21,없음,24,6.5,23.5,58,93,11.6,19.5
21,2006-07-21,20.1,"3,829,300",551,21,없음,11,0.5,0.5,24,58.5,2.5,20.8
22,2006-07-22,20.1,"3,829,300",551,21,없음,0,0,0,0.5,24,3.8,24
23,2006-07-23,20.1,"3,829,300",551,21,없음,0,0,0,0,0.5,5.7,22.5
24,2006-07-24,20.1,"3,829,300",551,21,없음,0,0,0,0,0,3.4,21.7
25,2006-07-25,20.1,"3,829,300",551,21,없음,0,0,0,0,0,6.4,24.1
26,2006-07-26,20.1,"3,829,300",551,21,없음,23,24,51.5,51.5,51.5,4.4,21.9
27,2006-07-27,20.1,"3,829,300",551,21,없음,0,0,0,51.5,51.5,2.5,25.4
28,2006-07-28,20.1,"3,829,300",551,21,없음,0,0,0,0,51.5,2.9,27.7
29,2006-07-29,20.1,"3,829,300",551,21,없음,6,29,29,29,29,3,27.5
