번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,0.4,0,60.5,1,없음,21,36.5,60.5,60.5,60.5,6.1,27.6
2,2002-08-04,17.7,"128,000",437.5,8,없음,0,0,0,0,0,5.6,29.1
3,2002-08-05,17.7,"128,000",437.5,8,없음,0,0,0,0,0,7,29.3
4,2002-08-06,17.7,"128,000",437.5,8,없음,22,6,15.5,15.5,15.5,6.4,26.5
5,2002-08-07,17.7,"128,000",437.5,8,없음,22,7,35,50.5,50.5,8.9,25.6
6,2002-08-08,17.7,"128,000",437.5,8,없음,24,13,63.5,98.5,114,7,25.1
7,2002-08-09,17.7,"128,000",437.5,8,없음,23,28.5,124.5,188,223,6.8,24.1
8,2002-08-10,17.7,"128,000",437.5,8,없음,24,49.5,142,266.5,330,4.9,22
9,2002-08-11,17.7,"128,000",437.5,8,없음,24,22.5,57,199,323.5,4.1,21.1
10,2003-09-12,29.4,"606,688",169.5,2,매미,21,44,169.5,191,191,21.8,
11,2003-09-13,29.4,"606,688",169.5,2,매미,0,0,0,169.5,191,11,25.1
12,2006-07-09,9.1,"196,211",508,21,없음,24,41,101.5,125.5,125.5,4.1,24.4
13,2006-07-10,9.1,"196,211",508,21,에위니아,20,38.5,195,296.5,320.5,14.6,24.6
14,2006-07-11,9.1,"196,211",508,21,없음,9,2,10,205,306.5,5.1,25.3
15,2006-07-12,9.1,"196,211",508,21,없음,24,6,25.5,35.5,230.5,5.7,27.3
16,2006-07-13,9.1,"196,211",508,21,없음,21,0.5,0.5,26,36,4.9,29.4
17,2006-07-14,9.1,"196,211",508,21,없음,0,0,0,0.5,26,5.5,29.7
18,2006-07-15,9.1,"196,211",508,21,없음,0,0,0,0,0.5,6.4,29
19,2006-07-16,9.1,"196,211",508,21,없음,6,14,14.5,14.5,14.5,7,27.1
20,2006-07-17,9.1,"196,211",508,21,없음,14,8,27,41.5,41.5,4.8,22.5
21,2006-07-18,9.1,"196,211",508,21,없음,22,6.5,35.5,62.5,77,4.7,23.8
22,2006-07-19,9.1,"196,211",508,21,없음,24,6,27.5,63,90,3.7,20.6
23,2006-07-20,9.1,"196,211",508,21,없음,24,4,11,38.5,74,2.4,20.3
24,2006-07-21,9.1,"196,211",508,21,없음,22,0.5,0.5,11.5,39,3.9,22.3
25,2006-07-22,9.1,"196,211",508,21,없음,0,0,0,0.5,11.5,4.3,26.5
26,2006-07-23,9.1,"196,211",508,21,없음,0,0,0,0,0.5,2,23
27,2006-07-24,9.1,"196,211",508,21,없음,0,0,0,0,0,2.1,23.1
28,2006-07-25,9.1,"196,211",508,21,없음,6,1,1,1,1,4.7,24.9
29,2006-07-26,9.1,"196,211",508,21,없음,24,13,54,55,55,3.9,22.3
30,2006-07-27,9.1,"196,211",508,21,없음,12,0.5,0.5,54.5,55.5,4.5,26.2
31,2006-07-28,9.1,"196,211",508,21,없음,0,0,0,0.5,54.5,5.8,29
32,2006-07-29,9.1,"196,211",508,21,없음,5,4,4,4,4.5,4.8,29
33,2012-07-14,0.4,"43,257",97.5,2,없음,10,13,38.5,101,101.5,5.3,23.4
34,2012-07-15,0.4,"43,257",97.5,2,없음,24,24,59,97.5,160,7.6,24.9
35,2014-08-17,0.9,"35,002",234,5,없음,5,4.5,8.5,8.5,11.5,4.6,24.2
36,2014-08-18,0.9,"35,002",234,5,없음,24,32,120,128.5,128.5,3.4,21.7
37,2014-08-19,0.9,"35,002",234,5,없음,24,11.5,19.5,139.5,148,4,25.2
38,2014-08-20,0.9,"35,002",234,5,없음,24,17,46.5,66,186,3.7,24.4
39,2014-08-21,0.9,"35,002",234,5,없음,24,14,39.5,86,105.5,7.4,25.5
40,2014-08-25,3.4,"783,711",199,1,없음,20,79.5,199,199,199,4.2,23.5
41,2016-07-01,1,"1,200",143.5,7,없음,14,14,55.5,55.5,57,8.5,25.5
42,2016-07-02,1,"1,200",143.5,7,없음,24,15.5,28,83.5,83.5,6.4,24.8
43,2016-07-03,1,"1,200",143.5,7,없음,14,11,26.5,54.5,110,3.8,22.7
44,2016-07-04,1,"1,200",143.5,7,없음,24,3.5,8.5,35,63,4.7,24.9
45,2016-07-05,1,"1,200",143.5,7,없음,21,10.5,25,33.5,60,5.8,27
46,2016-07-06,1,"1,200",143.5,7,없음,0,0,0,25,33.5,5.6,27.9
47,2016-07-07,1,"1,200",143.5,7,없음,0,0,0,0,25,4.1,26.8
48,2016-10-03,0.5,600,172,4,없음,0,0,0,1,2,4,25.4
49,2016-10-04,0.5,600,172,4,없음,0,0,0,0,1,5.4,22.9
50,2016-10-05,0.5,600,172,4,없음,24,83.5,172,172,172,11.8,20.6
51,2016-10-06,0.5,600,172,4,없음,0,0,0,172,172,3.4,20.8
52,2017-09-11,0.5,"16,341",0,2,없음,0,,,0,0,,
53,2017-09-12,0.5,"16,341",0,2,없음,0,,,0,0,,
