번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-07-23,0.4,"26,594",452.5,13,없음,0,0,0,37,37.5,6.9,25
2,1999-07-24,0.4,"26,594",452.5,13,없음,24,2,2,2,39,6.4,24.6
3,1999-07-25,0.4,"26,594",452.5,13,없음,0,0,0,2,2,3.8,26.2
4,1999-07-26,0.4,"26,594",452.5,13,없음,0,0,0,0,2,6.4,26.3
5,1999-07-27,0.4,"26,594",452.5,13,없음,21,2,6,6,6,9.2,24.3
6,1999-07-28,0.4,"26,594",452.5,13,없음,21,0.5,0.5,6.5,6.5,7.7,24.5
7,1999-07-29,0.4,"26,594",452.5,13,없음,18,30,163,163.5,169.5,7.7,23.4
8,1999-07-30,0.4,"26,594",452.5,13,없음,24,25,100,263,263.5,8.8,23.9
9,1999-07-31,0.4,"26,594",452.5,13,없음,22,0.5,0.5,100.5,263.5,6.7,25.6
10,1999-08-01,0.4,"26,594",452.5,13,없음,0,0,0,0.5,100.5,4.4,25.7
11,1999-08-02,0.4,"26,594",452.5,13,없음,0,0,0,0,0.5,3.2,26
12,1999-08-03,0.4,"26,594",452.5,13,없음,22,27,35,35,35,12.2,24.4
13,1999-08-04,0.4,"26,594",452.5,13,없음,24,23.5,145.5,180.5,180.5,5.6,22.3
14,2000-09-12,0.4,"718,072",81.5,5,없음,12,1,1.5,1.5,1.5,10.1,19.3
15,2000-09-13,0.4,"718,072",81.5,5,없음,22,6,17,18.5,18.5,10.4,17.2
16,2000-09-14,0.4,"718,072",81.5,5,없음,21,2,5,22,23.5,9.1,19.6
17,2000-09-15,0.4,"718,072",81.5,5,없음,18,4.5,10.5,15.5,32.5,9.2,20.2
18,2000-09-16,0.4,"718,072",81.5,5,없음,24,16.5,47.5,58,63,11.8,21.4
19,2003-09-12,320.8,"49,009,654",37.5,2,매미,24,9.5,37.5,59.5,59.5,30.2,26
20,2003-09-13,320.8,"49,009,654",37.5,2,매미,0,0,0,37.5,59.5,10.7,26.5
21,2006-07-09,2.3,"584,859",386,21,없음,16,28.5,99,141.5,141.5,6.6,18.9
22,2006-07-10,2.3,"584,859",386,21,에위니아,20,34.5,109,208,250.5,11,23.7
23,2006-07-11,2.3,"584,859",386,21,없음,10,1.5,7,116,215,4,17
24,2006-07-12,2.3,"584,859",386,21,없음,24,2,6,13,122,4.4,25.9
25,2006-07-13,2.3,"584,859",386,21,없음,0,0,0,6,13,5.1,28.8
26,2006-07-14,2.3,"584,859",386,21,없음,0,0,0,0,6,5.3,28.1
27,2006-07-15,2.3,"584,859",386,21,없음,9,0.5,1,1,1,4.4,26.6
28,2006-07-16,2.3,"584,859",386,21,없음,23,1,1.5,2.5,2.5,6.2,23.9
