번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,0.9,0,35,1,없음,18,16,35,35,35.5,8.4,24.5
2,2003-07-17,0.4,0,94.5,2,없음,5,3,5.5,5.5,5.5,12,17.1
3,2003-07-18,0.4,0,94.5,2,없음,24,54.5,89,94.5,94.5,13.5,20.1
4,2003-09-12,91.2,"11,911,162",28,2,매미,24,7.5,28,61,61,36.7,23.1
5,2003-09-13,91.2,"11,911,162",28,2,매미,0,0,0,28,61,16,21.9
6,2006-07-09,0.4,"85,898",387,21,없음,24,31.5,99.5,148.5,148.5,12,21.8
7,2006-07-10,0.4,"85,898",387,21,에위니아,20,36.5,74.5,174,223,31.9,20.7
8,2006-07-11,0.4,"85,898",387,21,없음,11,1.5,5.5,80,179.5,8.8,21.6
9,2006-07-12,0.4,"85,898",387,21,없음,24,2.5,6.5,12,86.5,5.6,23.6
10,2006-07-13,0.4,"85,898",387,21,없음,0,0,0,6.5,12,8.3,24.4
11,2006-07-14,0.4,"85,898",387,21,없음,0,0,0,0,6.5,7.8,25.4
12,2006-07-15,0.4,"85,898",387,21,없음,10,0.5,1,1,1,6.7,23.8
13,2006-07-16,0.4,"85,898",387,21,없음,24,1,3,4,4,8.1,21.7
14,2006-07-17,0.4,"85,898",387,21,없음,21,13,26,29,30,8.7,19.5
15,2006-07-18,0.4,"85,898",387,21,없음,23,5.5,26.5,52.5,55.5,7,21.1
16,2006-07-19,0.4,"85,898",387,21,없음,24,18,51.5,78,104,9.3,16.8
17,2006-07-20,0.4,"85,898",387,21,없음,24,13,39.5,91,117.5,8.4,16.7
18,2006-07-21,0.4,"85,898",387,21,없음,22,0.5,0.5,40,91.5,6,19
19,2006-07-22,0.4,"85,898",387,21,없음,0,0,0,0.5,40,7.6,21.7
20,2006-07-23,0.4,"85,898",387,21,없음,0,0,0,0,0.5,9.4,20.1
21,2006-07-24,0.4,"85,898",387,21,없음,0,0,0,0,0,6.3,19.1
22,2006-07-25,0.4,"85,898",387,21,없음,23,0.5,1,1,1,7.6,20.7
23,2006-07-26,0.4,"85,898",387,21,없음,24,21,45.5,46.5,46.5,11,21.7
24,2006-07-27,0.4,"85,898",387,21,없음,13,1.5,1.5,47,48,7.3,23.2
25,2006-07-28,0.4,"85,898",387,21,없음,0,0,0,1.5,47,10,23.9
26,2006-07-29,0.4,"85,898",387,21,없음,5,5,5,5,6.5,9.5,24.5
27,2008-08-02,6.2,0,225,17,없음,0,0,0,0,0,10.7,24.3
28,2008-08-03,6.2,0,225,17,없음,18,0.5,0.5,0.5,0.5,10.3,24.3
29,2008-08-04,6.2,0,225,17,없음,0,0,0,0.5,0.5,5.3,23.5
30,2008-08-05,6.2,0,225,17,없음,0,0,0,0,0.5,4.7,23.7
31,2008-08-06,6.2,0,225,17,없음,0,0,0,0,0,7.5,23.2
32,2008-08-07,6.2,0,225,17,없음,0,0,0,0,0,8.4,23.2
33,2008-08-08,6.2,0,225,17,없음,13,0.5,0.5,0.5,0.5,8.2,22.9
34,2008-08-09,6.2,0,225,17,없음,0,0,0,0.5,0.5,7.9,24.3
35,2008-08-10,6.2,0,225,17,없음,0,0,0,0,0.5,8.6,24.4
36,2008-08-11,6.2,0,225,17,없음,0,0,0,0,0,8.8,24.9
37,2008-08-12,6.2,0,225,17,없음,21,45,95,95,95,8.9,25.2
38,2008-08-13,6.2,0,225,17,없음,24,48,56,151,151,17,24.6
39,2008-08-14,6.2,0,225,17,없음,2,12.5,13,69,164,8.5,24.9
40,2008-08-15,6.2,0,225,17,없음,24,27,54,67,123,21.7,23.2
41,2008-08-16,6.2,0,225,17,없음,24,3.5,6,60,73,8.4,19.9
42,2008-08-17,6.2,0,225,17,없음,0,0,0,6,60,7.5,20.7
43,2008-08-18,6.2,0,225,17,없음,0,0,0,0,6,9.3,23.5
44,2009-07-07,5.8,"319,684",229.5,2,없음,21,49,225,225,225,13.3,20.6
45,2009-07-08,5.8,"319,684",229.5,2,없음,11,2.5,4.5,229.5,229.5,8.6,21.5
46,2009-07-11,16.9,"2,836,986",335,6,없음,5,4,10,10,12.5,7.8,22.4
47,2009-07-12,16.9,"2,836,986",335,6,없음,23,2,4,14,14,7.7,22.1
48,2009-07-13,16.9,"2,836,986",335,6,없음,22,7,16,20,30,9.4,22.4
49,2009-07-14,16.9,"2,836,986",335,6,없음,22,2.5,3.5,19.5,23.5,8.2,23.3
50,2009-07-15,16.9,"2,836,986",335,6,없음,22,32.5,84.5,88,104,19,18.4
51,2009-07-16,16.9,"2,836,986",335,6,없음,24,65.5,217,301.5,305,13.9,21.3
