번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,0.4,0,24.5,1,없음,20,13,24.5,24.5,24.5,,25.7
2,2002-08-30,0.1,"103,000",95,3,없음,9,3.5,12,12,12,7.9,27.2
3,2002-08-31,0.1,"103,000",95,3,루사,23,15,83,95,95,16.4,25.4
4,2002-09-01,0.1,"103,000",95,3,루사,0,0,0,83,95,8.9,24.9
5,2003-09-12,99.5,"7,144,657",64.5,2,매미,24,18.5,64.5,90.5,90.5,13.4,26.9
6,2003-09-13,99.5,"7,144,657",64.5,2,매미,0,0,0,64.5,90.5,9.3,27.2
7,2009-07-07,3.8,"1,044,840",0,2,없음,0,0,0,0,0,,22.5
8,2009-07-08,3.8,"1,044,840",0,2,없음,0,0,0,0,0,,22.3
9,2009-07-11,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,22.9
10,2009-07-12,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,23.5
11,2009-07-13,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,25.1
12,2009-07-14,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,25.1
13,2009-07-15,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,21
14,2009-07-16,28.5,"3,570,492",0,6,없음,0,0,0,0,0,,22.7
15,2012-07-14,3.9,"18,370",0,2,없음,0,0,0,0,0,,22.4
16,2012-07-15,3.9,"18,370",0,2,없음,0,0,0,0,0,,25
17,2014-08-25,1.9,"2,400",0,1,없음,0,0,0,0,0,,24.4
18,2016-10-03,0,"3,396,165",0,4,없음,0,0,0,0,0,,25.1
19,2016-10-04,0,"3,396,165",0,4,없음,0,0,0,0,0,,23.3
20,2016-10-05,0,"3,396,165",0,4,없음,0,0,0,0,0,,22.7
21,2016-10-06,0,"3,396,165",0,4,없음,0,0,0,0,0,,21.9
22,2017-09-11,7.2,"435,639",0,2,없음,0,,,0,0,,
23,2017-09-12,7.2,"435,639",0,2,없음,0,,,0,0,,
