번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,13.1,0,28.5,1,없음,19,15,28.5,28.5,28.5,4.1,27.4
2,2003-07-17,1.9,0,129,2,없음,4,4.5,7.5,7.5,7.5,4.5,21.1
3,2003-07-18,1.9,0,129,2,없음,24,63.5,121.5,129,129,4.2,23.1
4,2003-09-12,0.4,"281,695",90,2,매미,24,20,90,126.5,126.5,13.2,25.8
5,2003-09-13,0.4,"281,695",90,2,매미,0,0,0,90,126.5,11.3,26.6
6,2006-07-09,40.7,"85,822",446.5,21,없음,24,37.5,120.5,157,157,4.7,23.8
7,2006-07-10,40.7,"85,822",446.5,21,에위니아,20,54.5,150,270.5,307,9.8,23.6
8,2006-07-11,40.7,"85,822",446.5,21,없음,9,2,5.5,155.5,276,5.1,25.1
9,2006-07-12,40.7,"85,822",446.5,21,없음,24,4,13.5,19,169,4.4,26.6
10,2006-07-13,40.7,"85,822",446.5,21,없음,0,0,0,13.5,19,4.3,29
11,2006-07-14,40.7,"85,822",446.5,21,없음,0,0,0,0,13.5,5.1,29.8
12,2006-07-15,40.7,"85,822",446.5,21,없음,10,11.5,13,13,13,5.5,27.7
13,2006-07-16,40.7,"85,822",446.5,21,없음,23,0.5,1,14,14,4.9,24.6
14,2006-07-17,40.7,"85,822",446.5,21,없음,17,3,6.5,7.5,20.5,3.9,21.9
15,2006-07-18,40.7,"85,822",446.5,21,없음,21,6.5,34.5,41,42,3.9,22.2
16,2006-07-19,40.7,"85,822",446.5,21,없음,24,7.5,30.5,65,71.5,3.4,19.4
17,2006-07-20,40.7,"85,822",446.5,21,없음,24,5.5,17,47.5,82,3.4,19.2
18,2006-07-21,40.7,"85,822",446.5,21,없음,0,0,0,17,47.5,2.4,21.4
19,2006-07-22,40.7,"85,822",446.5,21,없음,0,0,0,0,17,4.2,25.1
20,2006-07-23,40.7,"85,822",446.5,21,없음,0,0,0,0,0,3.2,22.5
21,2006-07-24,40.7,"85,822",446.5,21,없음,0,0,0,0,0,2.2,22
22,2006-07-25,40.7,"85,822",446.5,21,없음,0,0,0,0,0,3.7,23.9
23,2006-07-26,40.7,"85,822",446.5,21,없음,23,15,51.5,51.5,51.5,4.4,21.7
24,2006-07-27,40.7,"85,822",446.5,21,없음,0,0,0,51.5,51.5,4.2,25.1
25,2006-07-28,40.7,"85,822",446.5,21,없음,0,0,0,0,51.5,5,28.4
26,2006-07-29,40.7,"85,822",446.5,21,없음,5,3,3,3,3,4.1,28.9
27,2008-08-02,0.9,0,253,17,없음,0,0,0,0,0,5.8,29.8
28,2008-08-03,0.9,0,253,17,없음,18,4.5,4.5,4.5,4.5,4.4,28.7
29,2008-08-04,0.9,0,253,17,없음,0,0,0,4.5,4.5,3.6,26.8
30,2008-08-05,0.9,0,253,17,없음,0,0,0,0,4.5,3.7,27.4
31,2008-08-06,0.9,0,253,17,없음,0,0,0,0,0,4.5,27
32,2008-08-07,0.9,0,253,17,없음,0,0,0,0,0,4.7,26.8
33,2008-08-08,0.9,0,253,17,없음,14,2.5,4,4,4,4.8,26.3
34,2008-08-09,0.9,0,253,17,없음,0,0,0,4,4,5,28.3
35,2008-08-10,0.9,0,253,17,없음,0,0,0,0,4,5.6,28.7
36,2008-08-11,0.9,0,253,17,없음,0,0,0,0,0,3.7,29
37,2008-08-12,0.9,0,253,17,없음,20,34.5,85.5,85.5,85.5,4.3,28.7
38,2008-08-13,0.9,0,253,17,없음,24,39.5,42.5,128,128,7.4,29.4
39,2008-08-14,0.9,0,253,17,없음,1,7.5,7.5,50,135.5,4.3,29.5
40,2008-08-15,0.9,0,253,17,없음,24,41.5,79,86.5,129,6.8,27.2
41,2008-08-16,0.9,0,253,17,없음,24,21.5,30,109,116.5,5.3,23.1
42,2008-08-17,0.9,0,253,17,없음,0,0,0,30,109,4.7,24.7
43,2008-08-18,0.9,0,253,17,없음,0,0,0,0,30,6.4,27.9
44,2009-07-11,69.1,"3,518,441",350,6,없음,4,3,7,7,17,3.2,25.7
45,2009-07-12,69.1,"3,518,441",350,6,없음,24,3.5,6.5,13.5,13.5,5.6,26
46,2009-07-13,69.1,"3,518,441",350,6,없음,22,2,6.5,13,20,4.4,26.9
47,2009-07-14,69.1,"3,518,441",350,6,없음,18,3.5,3.5,10,16.5,7.4,27.3
48,2009-07-15,69.1,"3,518,441",350,6,없음,22,71,127.5,131,137.5,7,22.2
49,2009-07-16,69.1,"3,518,441",350,6,없음,24,59,199,326.5,330,5.2,24.3
50,2012-07-14,6.3,"56,697",191,2,없음,22,19.5,50.5,70,70,1.8,22.3
51,2012-07-15,6.3,"56,697",191,2,없음,24,48.5,140.5,191,210.5,8.3,24.4
52,2014-08-01,0.4,600,131.5,4,없음,0,0,0,0,0,3.1,27.9
53,2014-08-02,0.4,600,131.5,4,없음,9,7.5,26,26,26,5.7,26.2
54,2014-08-03,0.4,600,131.5,4,없음,24,36.5,87.5,113.5,113.5,6.9,25.9
55,2014-08-04,0.4,600,131.5,4,없음,24,9.5,18,105.5,131.5,5.4,24.3
56,2014-08-25,152.1,"216,461",198,1,없음,24,83,198,198,198,4.1,23.6
57,2017-09-11,91.3,"105,600",0,2,없음,0,,,0,0,,
58,2017-09-12,91.3,"105,600",0,2,없음,0,,,0,0,,
