번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2002-08-04,1.8,"527,193",672.5,8,없음,0,0,0,0,0,7.3,26.1
2,2002-08-05,1.8,"527,193",672.5,8,없음,6,2,2,2,2,10.2,25.8
3,2002-08-06,1.8,"527,193",672.5,8,없음,11,43,90.5,92.5,92.5,13.1,24.4
4,2002-08-07,1.8,"527,193",672.5,8,없음,23,7,16,106.5,108.5,17.9,23.2
5,2002-08-08,1.8,"527,193",672.5,8,없음,21,12,38.5,54.5,145,13.1,22.7
6,2002-08-09,1.8,"527,193",672.5,8,없음,23,153,454.5,493,509,12.8,21.1
7,2002-08-10,1.8,"527,193",672.5,8,없음,24,5.5,21,475.5,514,10.2,21.4
8,2002-08-11,1.8,"527,193",672.5,8,없음,24,14,50,71,525.5,9.5,20.2
9,2003-09-12,238.6,"36,054,416",40,2,매미,22,11.5,40,63.5,63.5,28.1,24.9
10,2003-09-13,238.6,"36,054,416",40,2,매미,0,0,0,40,63.5,19.1,24.8
11,2006-07-09,0.4,"54,000",326,21,없음,24,26,69,114.5,114.5,7.5,22.7
12,2006-07-10,0.4,"54,000",326,21,에위니아,20,32,97,166,211.5,14.3,21.9
13,2006-07-11,0.4,"54,000",326,21,없음,11,2,11,108,177,10.1,21.9
14,2006-07-12,0.4,"54,000",326,21,없음,22,0.5,0.5,11.5,108.5,6.2,23.4
15,2006-07-13,0.4,"54,000",326,21,없음,0,0,0,0.5,11.5,6,25.3
16,2006-07-14,0.4,"54,000",326,21,없음,0,0,0,0,0.5,5,25.6
17,2006-07-15,0.4,"54,000",326,21,없음,7,10,11,11,11,9.1,24.2
18,2006-07-16,0.4,"54,000",326,21,없음,24,0.5,1,12,12,7.6,21.9
19,2006-07-17,0.4,"54,000",326,21,없음,13,4,6.5,7.5,18.5,7.3,20
20,2006-07-18,0.4,"54,000",326,21,없음,24,8.5,31.5,38,39,5.8,20.3
21,2006-07-19,0.4,"54,000",326,21,없음,24,16.5,38,69.5,76,9.1,19.4
22,2006-07-20,0.4,"54,000",326,21,없음,24,13.5,35,73,104.5,7,19.1
23,2006-07-21,0.4,"54,000",326,21,없음,0,0,0,35,73,4.3,20.3
24,2006-07-22,0.4,"54,000",326,21,없음,0,0,0,0,35,7.7,21.9
25,2006-07-23,0.4,"54,000",326,21,없음,5,0.5,0.5,0.5,0.5,3.2,22.1
26,2006-07-24,0.4,"54,000",326,21,없음,0,0,0,0.5,0.5,3.6,21
27,2006-07-25,0.4,"54,000",326,21,없음,8,1,1.5,1.5,2,3.5,22.1
28,2006-07-26,0.4,"54,000",326,21,없음,23,9.5,22.5,24,24,5.1,20.9
29,2006-07-27,0.4,"54,000",326,21,없음,0,0,0,22.5,24,7.5,22.6
30,2006-07-28,0.4,"54,000",326,21,없음,0,0,0,0,22.5,6.9,24.2
31,2006-07-29,0.4,"54,000",326,21,없음,5,1,1,1,1,6.1,25.5
32,2009-07-07,4.3,0,317,2,없음,21,63,300,300,300,10.1,21.8
33,2009-07-08,4.3,0,317,2,없음,16,13.5,17,317,317,5.1,22.1
34,2009-07-11,23.2,"2,635,130",260,6,없음,5,5.5,11.5,11.5,33.5,5.1,22.3
35,2009-07-12,23.2,"2,635,130",260,6,없음,23,3,5,16.5,16.5,8.8,22.4
36,2009-07-13,23.2,"2,635,130",260,6,없음,21,5.5,21.5,26.5,38,7.3,22.6
37,2009-07-14,23.2,"2,635,130",260,6,없음,22,0.5,0.5,22,27,9.2,23.4
38,2009-07-15,23.2,"2,635,130",260,6,없음,21,32.5,83,83.5,105,10.5,20.4
