번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,1999-09-10,0.4,0,25.5,1,없음,20,13,25.5,25.5,25.5,10.2,24.9
2,2009-07-11,1.9,"23,029",391,6,없음,4,4,9,9,16,5.1,23.7
3,2009-07-12,1.9,"23,029",391,6,없음,23,4,7,16,16,13.5,24.2
4,2009-07-13,1.9,"23,029",391,6,없음,18,8.5,20.5,27.5,36.5,9.7,24.7
5,2009-07-14,1.9,"23,029",391,6,없음,15,0.5,0.5,21,28,14.9,25.3
6,2009-07-15,1.9,"23,029",391,6,없음,22,32.5,87.5,88,108.5,17.3,20.9
7,2009-07-16,1.9,"23,029",391,6,없음,24,90,266.5,354,354.5,8.9,22.7
8,2011-07-26,0.4,600,243,4,없음,0,0,0,0,0,7.6,26.3
9,2011-07-27,0.4,600,243,4,없음,22,96,242,242,242,10.4,25.4
10,2011-07-28,0.4,600,243,4,없음,13,1,1,243,243,9.9,26.9
11,2011-07-29,0.4,600,243,4,없음,0,0,0,1,243,7.3,27.5
12,2012-07-14,2.4,"3,000",292.5,2,없음,22,24,62.5,92.5,92.5,4,22.3
13,2012-07-15,2.4,"3,000",292.5,2,없음,24,75,230,292.5,322.5,12.6,24
14,2016-07-01,0.5,600,132.3,7,없음,14,10.7,31.9,31.9,34.8,13.4,23
15,2016-07-02,0.5,600,132.3,7,없음,24,35.4,44.4,76.3,76.3,18.6,23.1
16,2016-07-03,0.5,600,132.3,7,없음,20,7.8,15.4,59.8,91.7,5.4,22.1
17,2016-07-04,0.5,600,132.3,7,없음,23,27.4,39.5,54.9,99.3,3.1,21
18,2016-07-05,0.5,600,132.3,7,없음,24,0.4,1,40.5,55.9,11.3,23.5
19,2016-07-06,0.5,600,132.3,7,없음,0,0,0,1,40.5,8.8,25
20,2016-07-07,0.5,600,132.3,7,없음,21,0.1,0.1,0.1,1.1,6.2,23.7
21,2016-10-03,214.6,"4,166,781",95.1,4,없음,0,0,0,0,1.4,7.3,25.2
22,2016-10-04,214.6,"4,166,781",95.1,4,없음,1,0.1,0.1,0.1,0.1,6.1,23.6
23,2016-10-05,214.6,"4,166,781",95.1,4,없음,24,38.3,95,95.1,95.1,16.7,21.8
24,2016-10-06,214.6,"4,166,781",95.1,4,없음,0,0,0,95,95.1,4.5,22.3
25,2017-09-11,1,"61,200",0,2,없음,0,,,0,0,,
26,2017-09-12,1,"61,200",0,2,없음,0,,,0,0,,
