번호,일자,"침수면적(1,000㎡)",피해액(백만원),총강수량(mm),기간(일),태풍,강수계속시간(시간),최다강수1H,일강수량(mm),누적 강수량(mm)-2일,누적 강수량(mm)-3일,최대풍속(m/s),평균기온(℃)
1,2000-07-14,5.1,"79,000",103,2,없음,7,63.5,90,90,90,5.8,24.3
2,2000-07-15,5.1,"79,000",103,2,없음,19,5,13,103,103,7.1,23.4
3,2003-09-12,87.9,"19,712,142",41.5,2,매미,24,10.2,41.5,63.2,63.2,23.8,25.7
4,2003-09-13,87.9,"19,712,142",41.5,2,매미,0,0,0,41.5,63.2,12.1,26.1
5,2005-09-06,0,"577,165",257.7,13,나비,24,27,253.2,265.5,266.5,15.8,23.2
6,2005-09-07,0,"577,165",257.7,13,나비,0,0,0,253.2,265.5,8.7,25.2
7,2005-09-08,0,"577,165",257.7,13,없음,0,0,0,0,253.2,4.9,23.7
8,2005-09-09,0,"577,165",257.7,13,없음,0,0,0,0,0,4.7,23.8
9,2005-09-10,0,"577,165",257.7,13,없음,1,0.5,0.5,0.5,0.5,5.1,25.2
10,2005-09-11,0,"577,165",257.7,13,없음,0,0,0,0.5,0.5,3,25.7
11,2005-09-12,0,"577,165",257.7,13,없음,0,0,0,0,0.5,4.1,27.3
12,2005-09-13,0,"577,165",257.7,13,없음,4,0.5,0.5,0.5,0.5,9.7,27.1
13,2005-09-14,0,"577,165",257.7,13,없음,0,0,0,0.5,0.5,5.6,22.6
14,2005-09-15,0,"577,165",257.7,13,없음,0,0,0,0,0.5,6.1,22.3
15,2005-09-16,0,"577,165",257.7,13,없음,0,0,0,0,0,4.5,23.6
16,2005-09-17,0,"577,165",257.7,13,없음,0,0,0,0,0,5.1,25.9
17,2005-09-18,0,"577,165",257.7,13,없음,22,3.2,3.5,3.5,3.5,4.4,26.7
18,2006-07-09,8.6,"189,081",361.5,21,없음,20,28.2,95,136,136,4.1,24.8
19,2006-07-10,8.6,"189,081",361.5,21,에위니아,19,34,94,189,230,10.8,23.2
20,2006-07-11,8.6,"189,081",361.5,21,없음,10,1.5,6.5,100.5,195.5,5.5,24.7
21,2006-07-12,8.6,"189,081",361.5,21,없음,24,1.7,4.2,10.7,104.7,5.2,26.2
22,2006-07-13,8.6,"189,081",361.5,21,없음,0,0,0,4.2,10.7,4.4,28.8
23,2006-07-14,8.6,"189,081",361.5,21,없음,0,0,0,0,4.2,4.6,28.1
24,2006-07-15,8.6,"189,081",361.5,21,없음,6.5,0.5,1,1,1,5.2,26.6
25,2006-07-16,8.6,"189,081",361.5,21,없음,21.5,1.2,1.7,2.7,2.7,5.3,23.9
26,2006-07-17,8.6,"189,081",361.5,21,없음,13,8,21.2,23,24,5,21.7
27,2006-07-18,8.6,"189,081",361.5,21,없음,18,6,31.7,53,54.7,3.7,22.1
28,2006-07-19,8.6,"189,081",361.5,21,없음,24,7.7,33.7,65.5,86.7,3.9,20.4
29,2006-07-20,8.6,"189,081",361.5,21,없음,24,9.7,33.5,67.2,99,3.6,20.4
30,2006-07-21,8.6,"189,081",361.5,21,없음,0,0,0,33.5,67.2,3.5,21.6
31,2006-07-22,8.6,"189,081",361.5,21,없음,0,0,0,0,33.5,4.6,23.9
32,2006-07-23,8.6,"189,081",361.5,21,없음,0,0,0,0,0,3.9,23.2
33,2006-07-24,8.6,"189,081",361.5,21,없음,0,0,0,0,0,2.8,22.8
34,2006-07-25,8.6,"189,081",361.5,21,없음,7,0.5,0.7,0.7,0.7,3.9,24.2
35,2006-07-26,8.6,"189,081",361.5,21,없음,23.5,10.7,35.2,36,36,4.4,22.3
36,2006-07-27,8.6,"189,081",361.5,21,없음,0,0,0,35.2,36,4.1,25
37,2006-07-28,8.6,"189,081",361.5,21,없음,0,0,0,0,35.2,4.7,27.1
38,2006-07-29,8.6,"189,081",361.5,21,없음,5,2.7,2.7,2.7,2.7,4.7,27.8
39,2008-08-02,0.4,0,235,17,없음,0,0,0,0,0,6.1,28.9
40,2008-08-03,0.4,0,235,17,없음,18,1,1,1,1,6.4,27.2
41,2008-08-04,0.4,0,235,17,없음,0,0,0,1,1,4,25.6
42,2008-08-05,0.4,0,235,17,없음,0,0,0,0,1,4.3,26.1
43,2008-08-06,0.4,0,235,17,없음,0,0,0,0,0,5.1,26.4
44,2008-08-07,0.4,0,235,17,없음,0,0,0,0,0,4.3,26.7
45,2008-08-08,0.4,0,235,17,없음,14,26.7,29.5,29.5,29.5,4.9,26.2
46,2008-08-09,0.4,0,235,17,없음,0,0,0,29.5,29.5,4.2,28
47,2008-08-10,0.4,0,235,17,없음,0,0,0,0,29.5,5.3,28.3
48,2008-08-11,0.4,0,235,17,없음,0,0,0,0,0,4.1,28.7
